accident_id,0,factor_id,1
96794,96794,31,31
1112,1112,31,31
1112,1112,37,37
1113,1113,37,37
96794,96794,43,43
907,907,43,43
910,910,31,31
910,910,43,43
1120,1120,37,37
912,912,31,31
913,913,37,37
1122,1122,40,40
1123,1123,37,37
1124,1124,37,37
1126,1126,37,37
1127,1127,101,101
1130,1130,31,31
1130,1130,43,43
914,914,37,37
1133,1133,31,31
1133,1133,43,43
1133,1133,101,101
96794,96794,101,101
1135,1135,37,37
41787,41787,37,37
921,921,37,37
924,924,34,34
96792,96792,43,43
104507,104507,43,43
1152,1152,37,37
1153,1153,37,37
1156,1156,37,37
1156,1156,43,43
34246,34246,43,43
33420,33420,43,43
33420,33420,42,42
100004,100004,43,43
929,929,37,37
9171,9171,37,37
34254,34254,42,42
934,934,36,36
34956,34956,101,101
937,937,34,34
1171,1171,37,37
93033,93033,36,36
1756,1756,37,37
941,941,37,37
2020,2020,43,43
943,943,35,35
946,946,37,37
950,950,37,37
952,952,37,37
2049,2049,31,31
2049,2049,101,101
93033,93033,37,37
100627,100627,35,35
99173,99173,31,31
99173,99173,34,34
104425,104425,37,37
103753,103753,101,101
2054,2054,37,37
2073,2073,37,37
958,958,31,31
959,959,37,37
962,962,37,37
2113,2113,43,43
963,963,101,101
964,964,37,37
965,965,36,36
966,966,37,37
968,968,37,37
969,969,31,31
969,969,43,43
970,970,37,37
2152,2152,37,37
2178,2178,37,37
14278,14278,31,31
2374,2374,37,37
196,196,37,37
16365,16365,37,37
2271,2271,37,37
974,974,37,37
975,975,34,34
978,978,37,37
2311,2311,31,31
2311,2311,101,101
2315,2315,36,36
979,979,37,37
980,980,31,31
980,980,43,43
980,980,101,101
2339,2339,31,31
982,982,37,37
983,983,31,31
984,984,37,37
2357,2357,31,31
2359,2359,31,31
2363,2363,31,31
994,994,37,37
995,995,37,37
999,999,31,31
2388,2388,31,31
1005,1005,37,37
2398,2398,36,36
2398,2398,101,101
2423,2423,31,31
2438,2438,37,37
2446,2446,37,37
2453,2453,34,34
1009,1009,37,37
2462,2462,35,35
1016,1016,37,37
1018,1018,37,37
2467,2467,37,37
1018,1018,43,43
2472,2472,37,37
1023,1023,37,37
50328,50328,37,37
2490,2490,37,37
2502,2502,101,101
2506,2506,37,37
