accident_id,0,injury_id,1
3340,3340,0,0
3584,3584,58,58
33420,33420,0,0
3586,3586,0,0
3348,3348,0,0
3588,3588,0,0
3350,3350,0,0
3595,3595,54,54
50178,50178,0,0
3603,3603,58,58
3355,3355,52,52
3605,3605,0,0
3356,3356,0,0
3357,3357,0,0
3610,3610,0,0
3613,3613,0,0
3614,3614,0,0
3363,3363,0,0
2390,2390,0,0
3621,3621,0,0
3622,3622,0,0
3629,3629,0,0
3630,3630,59,59
27067,27067,52,52
3632,3632,0,0
3637,3637,0,0
12063,12063,0,0
3370,3370,0,0
3390,3390,0,0
3393,3393,54,54
3393,3393,55,55
3649,3649,53,53
3650,3650,0,0
3394,3394,0,0
3400,3400,51,51
3400,3400,59,59
3656,3656,0,0
3660,3660,0,0
3416,3416,0,0
3419,3419,0,0
3430,3430,55,55
3436,3436,55,55
3437,3437,52,52
14137,14137,55,55
3441,3441,0,0
3449,3449,56,56
3681,3681,55,55
3452,3452,0,0
3453,3453,0,0
3456,3456,0,0
3457,3457,0,0
3460,3460,0,0
3461,3461,0,0
3462,3462,0,0
3477,3477,0,0
3485,3485,0,0
3698,3698,54,54
3699,3699,0,0
3486,3486,0,0
3703,3703,52,52
3490,3490,0,0
3493,3493,0,0
3708,3708,58,58
3715,3715,0,0
3499,3499,0,0
3502,3502,55,55
3504,3504,0,0
3724,3724,55,55
3728,3728,0,0
3505,3505,0,0
3506,3506,0,0
3733,3733,55,55
3507,3507,0,0
3509,3509,0,0
3737,3737,59,59
3738,3738,0,0
3511,3511,0,0
3513,3513,0,0
3516,3516,55,55
3742,3742,0,0
3517,3517,0,0
3746,3746,53,53
3518,3518,0,0
3519,3519,52,52
3750,3750,0,0
3519,3519,57,57
3753,3753,0,0
3522,3522,0,0
3525,3525,0,0
3526,3526,0,0
3527,3527,58,58
3528,3528,0,0
3529,3529,0,0
3766,3766,0,0
3767,3767,0,0
34254,34254,0,0
3769,3769,0,0
3533,3533,0,0
3535,3535,0,0
3536,3536,0,0
3537,3537,0,0
3540,3540,0,0
37291,37291,0,0
3544,3544,0,0
34956,34956,0,0
3548,3548,0,0
3793,3793,53,53
3794,3794,0,0
3549,3549,0,0
3550,3550,0,0
3552,3552,0,0
3553,3553,58,58
3554,3554,0,0
3805,3805,0,0
3555,3555,0,0
3811,3811,58,58
3557,3557,0,0
3564,3564,0,0
3565,3565,0,0
3815,3815,56,56
3568,3568,0,0
3817,3817,0,0
3818,3818,0,0
3819,3819,0,0
50164,50164,0,0
3569,3569,0,0
3579,3579,58,58
3581,3581,55,55
3582,3582,58,58
3826,3826,59,59
3583,3583,0,0
3585,3585,55,55
3829,3829,56,56
3587,3587,0,0
3590,3590,53,53
3602,3602,54,54
3604,3604,0,0
3606,3606,53,53
3840,3840,0,0
3841,3841,0,0
3842,3842,0,0
3609,3609,0,0
3844,3844,56,56
3615,3615,0,0
3848,3848,0,0
3849,3849,0,0
3618,3618,0,0
3619,3619,0,0
3855,3855,0,0
3856,3856,56,56
3860,3860,0,0
3861,3861,0,0
3627,3627,0,0
3863,3863,0,0
3631,3631,0,0
3639,3639,0,0
3645,3645,0,0
3645,3645,51,51
3647,3647,0,0
41788,41788,0,0
3653,3653,53,53
3655,3655,0,0
3882,3882,0,0
3657,3657,0,0
3662,3662,0,0
3669,3669,0,0
3887,3887,0,0
3888,3888,0,0
3891,3891,0,0
3670,3670,0,0
3671,3671,0,0
3672,3672,0,0
3673,3673,55,55
3674,3674,0,0
3898,3898,0,0
3676,3676,0,0
3904,3904,55,55
3677,3677,0,0
3678,3678,0,0
3908,3908,55,55
38181,38181,0,0
3687,3687,0,0
3689,3689,51,51
3691,3691,0,0
3692,3692,55,55
3922,3922,0,0
3693,3693,0,0
