accident_id,0,cause_id,1
948,948,11,11
747,747,15,15
954,954,15,15
955,955,14,14
100627,100627,86,86
754,754,7,7
755,755,4,4
960,960,86,86
758,758,6,6
758,758,13,13
556,556,3,3
1003,1003,10,10
967,967,11,11
765,765,14,14
768,768,86,86
771,771,14,14
973,973,7,7
777,777,14,14
778,778,17,17
976,976,11,11
779,779,7,7
780,780,15,15
784,784,7,7
785,785,7,7
986,986,11,11
988,988,7,7
786,786,7,7
991,991,3,3
34246,34246,13,13
41785,41785,86,86
41785,41785,13,13
996,996,17,17
997,997,12,12
35849,35849,18,18
33117,33117,7,7
1002,1002,11,11
804,804,4,4
804,804,18,18
805,805,86,86
1006,1006,18,18
1007,1007,11,11
35892,35892,7,7
1012,1012,11,11
1013,1013,10,10
1014,1014,14,14
810,810,16,16
1017,1017,86,86
27066,27066,3,3
1019,1019,11,11
1021,1021,11,11
1022,1022,15,15
812,812,86,86
814,814,7,7
1025,1025,15,15
1026,1026,15,15
815,815,86,86
817,817,6,6
1033,1033,7,7
27066,27066,86,86
825,825,7,7
76275,76275,12,12
834,834,7,7
835,835,12,12
1047,1047,10,10
1048,1048,4,4
836,836,18,18
34253,34253,7,7
839,839,15,15
34029,34029,7,7
1053,1053,14,14
1054,1054,11,11
1056,1056,3,3
1057,1057,4,4
849,849,7,7
853,853,86,86
1063,1063,11,11
1065,1065,13,13
866,866,7,7
1067,1067,11,11
1068,1068,11,11
868,868,86,86
1071,1071,18,18
1072,1072,14,14
1073,1073,7,7
951,951,4,4
869,869,7,7
1076,1076,13,13
871,871,16,16
874,874,14,14
875,875,15,15
878,878,12,12
882,882,10,10
951,951,7,7
1083,1083,18,18
1084,1084,3,3
890,890,13,13
899,899,86,86
1088,1088,12,12
1089,1089,10,10
1090,1090,13,13
901,901,7,7
907,907,7,7
2514,2514,13,13
1101,1101,86,86
196,196,7,7
1106,1106,4,4
1108,1108,10,10
1110,1110,15,15
1112,1112,8,8
1113,1113,18,18
8029,8029,11,11
10799,10799,4,4
1120,1120,11,11
16365,16365,13,13
1122,1122,4,4
1123,1123,14,14
1124,1124,15,15
1126,1126,17,17
1127,1127,3,3
1128,1128,11,11
1130,1130,7,7
910,910,7,7
1133,1133,11,11
1135,1135,15,15
912,912,8,8
913,913,8,8
914,914,86,86
